subject,session,experiment_block,experiment_phase,trial_index,sync_time,orient_time,trial_time,item_time,interval_time,interval,face_time,item_question_time,item_time_to_respond,face_question_time,face_time_to_respond,interval_question_time,interval_time_to_respond,log_num,log_time
SC000,0,0,ENCODING,0,297977263.17321,297977308.075785,297980279.797122,297980279.797122,297983274.756219,3000,297986269.937111,297991276.035402,1340.769388480112,-999,-999,-999,-999,0,297995.25847710704
SC000,0,0,ENCODING,1,297998259.115373,297998297.713431,298001269.515086,298001269.515086,298004274.01913303,3000,298007276.276978,298012274.241831,1597.904147929512,-999,-999,-999,-999,0,298016.25847710704
SC000,0,0,ENCODING,2,298019258.93192,298019294.276701,298022265.881886,298022265.881886,298025273.34066105,3000,298028280.025078,298033275.203342,947.612255520653,-999,-999,-999,-999,0,298037.25847710704
SC000,0,0,ENCODING,3,298040263.98245895,298040284.403771,298043273.4977,298043273.4977,298046279.07291603,6000,298052268.623425,298057279.620901,1315.9094444708899,-999,-999,-999,-999,0,298061.25847710704
SC000,0,0,ENCODING,4,298064259.21413,298064298.178796,298067273.111063,298067273.111063,298070277.84826297,6000,298076271.080302,298081264.32105297,878.5851200227626,-999,-999,-999,-999,0,298085.25847710704
SC000,0,0,ENCODING,5,298088258.766698,298088300.579798,298091272.459012,298091272.459012,298094277.70336396,6000,298100270.68348503,298105265.245202,1623.172395513393,-999,-999,-999,-999,0,298109.25847710704
SC000,0,0,ENCODING,6,298112258.58377004,298112294.14789903,298115267.92865604,298115267.92865604,298118272.933845,3000,298121268.005883,298126263.911537,1338.474047021009,-999,-999,-999,-999,0,298130.25847710704
SC000,0,0,ENCODING,7,298133259.426338,298133292.230559,298136263.659949,298136263.659949,298139271.96763504,6000,298145281.235282,298150272.67051196,1103.8138290168718,-999,-999,-999,-999,0,298154.25847710704
SC000,0,0,ENCODING,8,298157258.790511,298157288.83058,298160276.93184304,298160276.93184304,298163265.226336,6000,298169274.80833805,298174271.64643997,1154.9056765506975,-999,-999,-999,-999,0,298178.25847710704
SC000,0,0,ENCODING,9,298181258.95649004,298181295.30439603,298184266.865229,298184266.865229,298187271.337487,3000,298190276.111924,298195272.936148,1360.2618430159055,-999,-999,-999,-999,0,298199.25847710704
SC000,0,0,ENCODING,10,298202258.99532,298202286.238293,298205274.331701,298205274.331701,298208279.09669197,6000,298214269.257687,298219272.76296794,899.2276780190878,-999,-999,-999,-999,0,298223.25847710704
SC000,0,0,ENCODING,11,298226258.67872804,298226291.204731,298229279.617477,298229279.617477,298232270.460621,3000,298235273.861857,298240270.651481,469.7490555117838,-999,-999,-999,-999,0,298244.25847710704
SC000,0,0,ENCODING,12,298247259.03119504,298247289.686194,298250277.822732,298250277.822732,298253266.084993,6000,298259282.006944,298264275.16545403,1561.7602419806644,-999,-999,-999,-999,0,298268.25847710704
SC000,0,0,ENCODING,13,298271258.637551,298271294.968058,298274266.84213305,298274266.84213305,298277271.700098,3000,298280280.28611404,298285277.66885495,963.1739194737747,-999,-999,-999,-999,0,298289.25847710704
SC000,0,0,ENCODING,14,298292258.94127697,298292293.837981,298295266.001337,298295266.001337,298298270.718448,6000,298304268.123336,298309278.265418,810.1536505273543,-999,-999,-999,-999,0,298313.25847710704
SC000,0,0,ENCODING,15,298316258.697482,298316295.400759,298319269.61194,298319269.61194,298322274.589599,3000,298325279.825094,298330276.93737197,1495.8267899928614,-999,-999,-999,-999,0,298334.25847710704
SC000,0,0,ENCODING,16,298337258.672665,298337294.41924,298340269.181215,298340269.181215,298343273.88476706,3000,298346281.4712,298351278.04067105,648.9470200031064,-999,-999,-999,-999,0,298355.25847710704
SC000,0,0,ENCODING,17,298358258.81175596,298358298.13837105,298361269.35045004,298361269.35045004,298364274.444084,3000,298367281.899203,298372277.243444,499.9825540580787,-999,-999,-999,-999,0,298376.25847710704
SC000,0,0,ENCODING,18,298379258.655943,298379289.03608197,298382277.67163396,298382277.67163396,298385268.717202,6000,298391275.969287,298396270.058324,909.293474513106,-999,-999,-999,-999,0,298400.25847710704
SC000,0,0,ENCODING,19,298403258.813592,298403301.111793,298406274.131653,298406274.131653,298409278.876445,6000,298415266.721575,298420276.65818,1533.7260364904068,-999,-999,-999,-999,0,298424.25847710704
SC000,0,0,ENCODING,20,298427258.754453,298427294.922863,298430267.89160603,298430267.89160603,298433272.56835103,3000,298436279.505878,298441275.40293205,1004.1429200791754,-999,-999,-999,-999,0,298445.25847710704
SC000,0,0,ENCODING,21,298448258.959364,298448289.124839,298451278.399292,298451278.399292,298454267.60408103,6000,298460276.468052,298465273.94210196,1014.5189800532535,-999,-999,-999,-999,0,298469.25847710704
SC000,0,0,ENCODING,22,298472259.11771697,298472292.278417,298475267.56219405,298475267.56219405,298478272.171094,3000,298481279.430672,298486275.413698,791.1608800059184,-999,-999,-999,-999,0,298490.25847710704
SC000,0,0,ENCODING,23,298493258.755515,298493287.858568,298496276.33801997,298496276.33801997,298499267.04338,6000,298505277.161368,298510272.114021,612.6079210080206,-999,-999,-999,-999,0,298514.25847710704
SC000,0,0,RETRIEVAL,0,298541872.875673,298541887.570404,298544876.11285603,298544876.11285603,298547883.270669,3000,298550886.87284,-999.0,-999.0,298555883.04487497,765.5557859688997,298561878.866549,1199.9615359818563,0,298565.8689490915
SC000,0,0,RETRIEVAL,1,298568869.25103897,298568901.07295597,298571889.209417,298571889.209417,298574877.63369703,3000,298577891.172676,-999.0,-999.0,298582886.667956,583.3710604347289,298588882.83952904,559.3210169463418,0,298592.8689490915
SC000,0,0,RETRIEVAL,2,298595875.833782,298595898.714062,298598887.193011,298598887.193011,298601876.37899405,3000,298604878.983715,-999.0,-999.0,298609876.31882197,550.7419490022585,298615887.516492,582.3832554742694,0,298619.8689490915
SC000,0,0,RETRIEVAL,3,298622869.842377,298622905.36408204,298625877.21138304,298625877.21138304,298628881.880417,6000,298634884.95837796,-999.0,-999.0,298639878.505297,838.776295480784,298645888.688801,892.4203679780476,0,298649.8689490915
SC000,0,0,RETRIEVAL,4,298652869.528289,298652902.99682695,298655876.628188,298655876.628188,298658881.501359,3000,298661880.421757,-999.0,-999.0,298666876.24504703,995.1302600093186,298672886.794467,1648.4669679775834,0,298676.8689490915
SC000,0,0,RETRIEVAL,5,298679869.715015,298679905.84902304,298682877.52427703,298682877.52427703,298685882.177438,3000,298688879.877208,-999.0,-999.0,298693875.580136,819.0316444961354,298699886.220744,1135.419376019854,0,298703.8689490915
SC000,0,0,RETRIEVAL,6,298706869.301893,298706907.998052,298709880.978858,298709880.978858,298712885.966285,6000,298718887.414271,-999.0,-999.0,298723880.759775,1326.0405010078102,298729874.316561,1019.1908419365063,0,298733.8689490915
SC000,0,0,RETRIEVAL,7,298736876.496211,298736898.905968,298739887.374286,298739887.374286,298742875.47525,3000,298745892.27549803,-999.0,-999.0,298750881.931114,762.9957620520145,298756875.757956,802.6075190282427,0,298760.8689490915
SC000,0,0,RETRIEVAL,8,298763869.482572,298763902.66055,298766876.551812,298766876.551812,298769880.949242,3000,298772883.595552,-999.0,-999.0,298777879.949813,884.3392505077645,298783892.234491,760.7146034715697,0,298787.8689490915
SC000,0,0,RETRIEVAL,9,298790869.311299,298790909.791169,298793881.49835294,298793881.49835294,298796886.271944,3000,298799887.23914,-999.0,-999.0,298804882.85672504,593.791802006308,298810876.373269,648.1894869939424,0,298814.8689490915
SC000,0,0,RETRIEVAL,10,298817869.69104296,298817914.033467,298820885.811148,298820885.811148,298823873.886418,3000,298826889.88492596,-999.0,-999.0,298831886.981209,1917.5644630449824,298837879.630904,977.3121189791709,0,298841.8689490915
SC000,0,0,RETRIEVAL,11,298844869.508869,298844910.589747,298847881.998405,298847881.998405,298850886.84376997,3000,298853883.364299,-999.0,-999.0,298858880.398975,769.5110949571244,298864890.52647203,614.1997799859382,0,298868.8689490915
SC000,0,0,RETRIEVAL,12,298871869.481426,298871908.121943,298874879.546772,298874879.546772,298877884.187648,3000,298880885.341511,-999.0,-999.0,298885880.933168,781.2629085383378,298891876.331455,680.0391239812598,0,298895.8689490915
SC000,0,0,RETRIEVAL,13,298898870.344252,298898907.40117306,298901878.994535,298901878.994535,298904883.873754,3000,298907882.780167,-999.0,-999.0,298912880.704511,495.68101804470643,298918890.892201,461.72518603270873,0,298922.8689490915
SC000,0,0,RETRIEVAL,14,298925869.667499,298925905.996586,298928877.83720404,298928877.83720404,298931882.451283,6000,298937882.454815,-999.0,-999.0,298942877.602708,520.7220960292034,298948888.80714196,709.3442225595936,0,298952.8689490915
SC000,0,0,RETRIEVAL,15,298955869.191094,298955905.452438,298958877.473153,298958877.473153,298961882.41712,6000,298967881.983958,-999.0,-999.0,298972877.471771,577.8960830066353,298978890.44751304,591.8559219571762,0,298982.8689490915
SC000,0,0,RETRIEVAL,16,298985869.314363,298985904.794364,298988877.203565,298988877.203565,298991881.979949,3000,298994883.38834405,-999.0,-999.0,298999880.026133,491.0849650623277,299005882.123348,432.8438430093229,0,299009.8689490915
SC000,0,0,RETRIEVAL,17,299012869.037964,299012902.340675,299015876.852561,299015876.852561,299018881.58520496,3000,299021883.774928,-999.0,-999.0,299026879.67629606,2157.6959150261246,299032891.699212,1508.637480030302,0,299036.8689490915
SC000,0,0,RETRIEVAL,18,299039869.040551,299039900.726901,299042889.285798,299042889.285798,299045877.303351,3000,299048879.502467,-999.0,-999.0,299053876.207901,787.169064511545,299059887.280062,638.1040940177627,0,299063.8689490915
SC000,0,0,RETRIEVAL,19,299066869.177323,299066902.533984,299069876.916782,299069876.916782,299072881.843337,3000,299075880.587695,-999.0,-999.0,299080878.486399,574.5414414559491,299086888.260382,494.32967096799985,0,299090.8689490915
SC000,0,0,RETRIEVAL,20,299093869.27320904,299093903.371632,299096877.965933,299096877.965933,299099882.66296804,3000,299102883.189963,-999.0,-999.0,299107878.78028697,1747.209171531722,299113876.213064,916.3505300530232,0,299117.8689490915
SC000,0,0,RETRIEVAL,21,299120869.261608,299120899.916708,299123887.945296,299123887.945296,299126876.094957,3000,299129878.236333,-999.0,-999.0,299134877.822092,926.9935569609515,299140887.945166,1173.7202850054018,0,299144.8689490915
SC000,0,0,RETRIEVAL,22,299147869.521572,299147902.56161803,299150877.036367,299150877.036367,299153881.908625,3000,299156882.332979,-999.0,-999.0,299161877.940022,730.9682760387659,299167875.16861504,511.8036735220812,0,299171.8689490915
SC000,0,0,RETRIEVAL,23,299174870.35528404,299174906.217955,299177878.10531,299177878.10531,299180883.18952,3000,299183886.21466297,-999.0,-999.0,299188883.56731904,837.6136279548518,299194882.278557,701.1951564927585,0,299198.8689490915
